Precinct,Crime Description,Year,Count
Topanga,BURGLARY FROM VEHICLE,2023,462
Topanga,THEFT OF IDENTITY,2020,564
Topanga,THEFT OF IDENTITY,2021,717
Topanga,THEFT OF IDENTITY,2022,973
Topanga,THEFT OF IDENTITY,2023,572
Topanga,VEHICLE - STOLEN,2020,681
Topanga,VEHICLE - STOLEN,2021,743
Topanga,VEHICLE - STOLEN,2022,692
Topanga,VEHICLE - STOLEN,2023,588
Van Nuys,BATTERY - SIMPLE ASSAULT,2020,659
Van Nuys,BATTERY - SIMPLE ASSAULT,2021,570
Van Nuys,BATTERY - SIMPLE ASSAULT,2022,722
Van Nuys,BATTERY - SIMPLE ASSAULT,2023,618
Van Nuys,BURGLARY,2020,572
Van Nuys,BURGLARY,2021,640
Van Nuys,BURGLARY,2022,852
Van Nuys,BURGLARY,2023,716
Van Nuys,BURGLARY FROM VEHICLE,2020,715
Van Nuys,BURGLARY FROM VEHICLE,2021,623
Van Nuys,BURGLARY FROM VEHICLE,2022,571
Van Nuys,BURGLARY FROM VEHICLE,2023,442
Van Nuys,THEFT OF IDENTITY,2020,603
Van Nuys,THEFT OF IDENTITY,2021,671
Van Nuys,THEFT OF IDENTITY,2022,964
Van Nuys,THEFT OF IDENTITY,2023,542
Van Nuys,VEHICLE - STOLEN,2020,896
Van Nuys,VEHICLE - STOLEN,2021,923
Van Nuys,VEHICLE - STOLEN,2022,929
Van Nuys,VEHICLE - STOLEN,2023,888
West LA,BATTERY - SIMPLE ASSAULT,2020,663
West LA,BATTERY - SIMPLE ASSAULT,2021,679
West LA,BATTERY - SIMPLE ASSAULT,2022,694
West LA,BATTERY - SIMPLE ASSAULT,2023,612
West LA,BURGLARY,2020,1066
West LA,BURGLARY,2021,960
West LA,BURGLARY,2022,1125
West LA,BURGLARY,2023,878
West LA,BURGLARY FROM VEHICLE,2020,813
West LA,BURGLARY FROM VEHICLE,2021,822
West LA,BURGLARY FROM VEHICLE,2022,709
West LA,BURGLARY FROM VEHICLE,2023,653
West LA,THEFT OF IDENTITY,2020,664
West LA,THEFT OF IDENTITY,2021,750
West LA,THEFT OF IDENTITY,2022,902
West LA,THEFT OF IDENTITY,2023,586
West LA,VEHICLE - STOLEN,2020,649
West LA,VEHICLE - STOLEN,2021,705
West LA,VEHICLE - STOLEN,2022,800
West LA,VEHICLE - STOLEN,2023,677
West Valley,BATTERY - SIMPLE ASSAULT,2020,540
West Valley,BATTERY - SIMPLE ASSAULT,2021,527
West Valley,BATTERY - SIMPLE ASSAULT,2022,684
West Valley,BATTERY - SIMPLE ASSAULT,2023,706
West Valley,BURGLARY,2020,627
West Valley,BURGLARY,2021,673
West Valley,BURGLARY,2022,915
West Valley,BURGLARY,2023,951
West Valley,BURGLARY FROM VEHICLE,2020,582
West Valley,BURGLARY FROM VEHICLE,2021,521
West Valley,BURGLARY FROM VEHICLE,2022,604
West Valley,BURGLARY FROM VEHICLE,2023,523
West Valley,THEFT OF IDENTITY,2020,571
West Valley,THEFT OF IDENTITY,2021,699
West Valley,THEFT OF IDENTITY,2022,987
West Valley,THEFT OF IDENTITY,2023,540
West Valley,VEHICLE - STOLEN,2020,768
West Valley,VEHICLE - STOLEN,2021,849
West Valley,VEHICLE - STOLEN,2022,985
West Valley,VEHICLE - STOLEN,2023,791
Wilshire,BATTERY - SIMPLE ASSAULT,2020,699
Wilshire,BATTERY - SIMPLE ASSAULT,2021,675
Wilshire,BATTERY - SIMPLE ASSAULT,2022,759
Wilshire,BATTERY - SIMPLE ASSAULT,2023,765
Wilshire,BURGLARY,2020,970
Wilshire,BURGLARY,2021,755
Wilshire,BURGLARY,2022,823
Wilshire,BURGLARY,2023,796
Wilshire,BURGLARY FROM VEHICLE,2020,651
Wilshire,BURGLARY FROM VEHICLE,2021,670
Wilshire,BURGLARY FROM VEHICLE,2022,704
Wilshire,BURGLARY FROM VEHICLE,2023,714
Wilshire,THEFT OF IDENTITY,2020,441
Wilshire,THEFT OF IDENTITY,2021,521
Wilshire,THEFT OF IDENTITY,2022,748
Wilshire,THEFT OF IDENTITY,2023,509
Wilshire,VEHICLE - STOLEN,2020,654
Wilshire,VEHICLE - STOLEN,2021,861
Wilshire,VEHICLE - STOLEN,2022,924
Wilshire,VEHICLE - STOLEN,2023,887
